,content,like_count,comment_count,date
0,"Last week, we made appearances in one of the Top 5 most-watched #reInvent sessions, featuring our very own Aishwarya Bhadouria, AWS solutions manager, and our CEO Brad Jackson. Thank you Amazon Web Services (AWS) for the opportunity to drive curiosity, innovation, and business transformation. If you're registered for , check out the session!
…see more
Watch ""Cloud Learning - Choose your path to growth and innovation""
virtual.awsevents.com
",42,0,2h •
1,"There are thousands of amazing women at Slalom, and after our recognition as one of the #BestWorkplaces for women, we gathered some of their perspectives on work, life, leadership, and transformation: https://slalom.ws/2W9zFD4 #CelebrateAuthenticity
…see more
Slalom women: Words of wisdom
slalom.com • 1 min read
",18,0,2h •
2,"#AI is changing virtually every industry, and can transform your customer experience. Learn how here: https://bit.ly/3mu6DJm
Download the whitepaper
go.slalom.com • 1 min read
",4,0,6h •
3,"With a modernized loan processing system in place that can easily handle new products and process billions of dollars daily, Federal Home Loan Bank of Chicago can hold true to its mission: providing same-day, reliable funding to #financialservices institutions. This #reInvent, learn how one #bank took full advantage of and :
…see more
Read how here
slalom.com • 2 min read
",3,0,7h •
4,"In case you missed it, watch Slalom’s exclusive event with award-winning actor, producer, and activist America Ferrera. Thrilled to wrap #reInvent with this official event focused on building equity and community—which starts with inclusive teams empowered to create solutions that represent the diversity of our communities:
…see more
Watch on-demand
go.slalom.com • 1 min read
",34,1,1d •
5,"Are you looking to bring #AI into your #healthcare organization, but feeling puzzled about the jargon and how it could help? We’ve demystified AI in the latest Slalom Daily Dose blog, read more here: https://lnkd.in/gjNC-WB
AI: Transforming Healthcare for a Better Tomorrow
medium.com • 7 min read
",15,0,1d •
6,"Growth happens at the edge of your comfort zone, and Alice Chen, an AI/ML solution architect in Slalom Atlanta, is learning how to embrace her impostor syndrome as a gift that spurs growth. Read more on the Slowdown: https://bddy.me/31NIeqG
…see more
Women & Impostor Syndrome: You're Not Alone and You Can Defeat It
medium.com • 5 min read
",66,0,1d •
7,"Corporate responsibility is a journey that requires bold aspirations for the future—and specific, measurable actions for today. Slalom’s first CSR report details our sustainable, responsible, and innovative practices in 2019—and how we’ll continue to grow with purpose. Read it here: https://slalom.ws/3r2ZseH
…see more
Corporate social responsibility
slalom.com • 1 min read
",44,0,2d •
8,"TOMORROW – Join Slalom’s exclusive event with award-winning actor, producer, and activist America Ferrera. Thrilled to wrap #reinvent with this official event focused on building equity and community—which starts with inclusive teams empowered to create solutions that represent the diversity of our communities.
…see more
Register today.
go.slalom.com • 1 min read
",1,0,2d •
9,"Congratulations to our newest AWS Cloudiator, Carlos Martell! Carlos has completed 5 core AWS certifications and says that they've helped guide his career: ""They provide me with a tangible way to quantify my AWS knowledge to employers and clients. They are also a fun challenge as I get to learn about services that I would not otherwise have the opportunity to use!” Thank you Carlos for helping our clients accelerate cloud disruption with .
…see more
Activate link to view larger image.
",85,2,5d •
10,"Ready to launch change and #reinvent your teams and community? Slalom is talking with award-winning actor, producer and activist America Ferrera next week about building equity and justice. RSVP now. https://slalom.ws/33yYrAH
shape
go.slalom.com • 1 min read
",6,0,6d •
11,"It seems obvious: A large-scale #modernization initiative, #cloud or otherwise, needs a destination. But setting one is not so simple. On Harvard Business Review, start creating your roadmap by learning the why and how of modernization: https://bit.ly/376vC0G
…see more
Activate link to view larger image.
",18,0,6d •
12,"A social services agency wanted more time to support its community, so we helped create a new CRM using Salesforce Service Cloud that reduces paperwork. Now, teams can manage key information while maintaining privacy—which leaves more time for the vulnerable populations who need their help. https://slalom.ws/3qCFqra
…see more
Read how a social services agency modernized its CRM
slalom.com • 2 min read
",22,0,
13,"Today is the birthday of Ada Lovelace, the first computer programmer, and at Slalom we're excited to announce a birthday of our own: our #WomenInTech group, Slalom WIT, turns one today! To help us #CelebrateAuthenticity, we asked each of our founding WIT leads what being a woman in tech means to them.
…see more
Activate link to view larger image.
",107,0,6d •
14,"See how Slalom's #Agile principles can boost effectiveness and productivity, unlocking potential—like how we helped a biopharmaceutical client deliver data capabilities 25% faster. Read the full story and learn how here: https://slalom.ws/3n4CXmJ
…see more
Activate link to view larger image.
",61,0,1w •
15,"We partnered with Salesforce to co-host a virtual panel & roundtable with physicians, healthcare CIOs, marketing directors, and patient experience professionals. The results? Insights to help innovate your patient experiences. Read more here: https://slalom.ws/2JraGZs
…see more
Read the insights
slalom.com • 1 min read
",16,0,
