,content,like_count,comment_count,date
0,"VDI comes of age with high-performance Intel Corporation Select Solutions featuring Intel #Optane Persistent Memory. Learn more about the new approach: http://ms.spr.ly/6047pP6A9
Activate link to view larger image.
",9,0,9h •
1,"The face of education has drastically changed due to the global pandemic. While it's safe to say most of us were not prepared, we have the solutions and tools for educators to use, and the ability to train them to be successful. Learn more about how WWT can help: http://ms.spr.ly/6049prCmh
…see more
Activate link to view larger image.
",16,1,1d •
2,"Register now to join a cross-architecture panel of WWT thought leaders from Security, Digital Strategy and Digital Workspace as they introduce the Hybrid Work spectrum: http://ms.spr.ly/6044pTVeC
Activate link to view larger image.
",25,0,2d •
3,"A widely debated topic among data center experts is whether to leverage HCI or a dedicated storage array to support an organization's workloads. During this webinar, the panel explores the appropriate use cases for each and comparisons between Dell Technologies top HCI and Storage products, VxRail and PowerStore.
…see more
Activate link to view larger image.
",14,0,3d •
4,"Just one interaction or moment may be someone's only touchpoint with your company and brand. This is why it is critical to ensure a good (hopefully great) user experience. Learn more about the importance of UX: http://ms.spr.ly/6047pJIEJ
Activate link to view larger image.
",22,0,4d •
5,"The WWT Advanced Technology Center (ATC) supports a variety of Dell PowerEdge Server Platforms, which provide the highest performance for a diverse set of workloads. They’re designed to speed deployment and improve application performance for database, high-performance computing and virtualization environments.

Learn more and access the technologies through our Dell PowerEdge compute lab in the ATC:
…see more
Activate link to view larger image.
",19,0,5d •
6,"Organizations need a comprehensive strategy to expand their cloud presence, derive maximum value and maintain momentum in their cloud journey. We can help guide you along the path to becoming cloud smart with these six principles: http://ms.spr.ly/6043prc1B
…see more
Activate link to view larger image.
",36,1,6d •
7,"Join us for today's webinar and listen in as WWT & Seagate Technology experts discuss how HPA brings together different technologies to solve complex problems quickly and efficiently. Expect to leave the session with an understanding of HPA and the beginnings of that roadmap! Register here: http://ms.spr.ly/6045pR5ef
…see more
Activate link to view larger image.
",17,0,1w •
8,"We’re proud to announce that WWT is a #WebexAwards Webexceptional Partner of the Year – Americas award winner. Thank you to Webex for the award and incredible partnership. 🎉 http://ms.spr.ly/6044pRwmI
Activate link to view larger image.
",83,4,1w •
9,"In this week's TEC37, Robb Boyd and tech experts will discuss how WWT's Tools Rationalization approach will ensure your organization is advancing its security posture, optimizing investments, and pursuing reduction in spending. Register here: http://ms.spr.ly/6048puq1s
…see more
Activate link to view larger image.
",18,0,1w •
10,"Erica Hagen
• 3rd+
Senior Integrated Marketing Manager, Multicloud at World Wide Technology
1w1 weekJoin tech leaders David Willis with Microsoft, Wendy Bahr with Rubrik, Inc. and Dave Sellers, GM of Multicloud at World Wide Technology as they discuss the importance of a cloud smart strategy and how customers are making the transition to the cloud with simplification and ease. #cloud #hybridcloud #azure
…see more
Talking Cloud with Industry Leaders at Microsoft, Rubrik, and WWT
youtube.com
",11,0,1w •
11,"The next event in the WWT Speaker Series takes place tomorrow, and it is sure to be a fun one! Join us, Commvault and Jason Alexander (A.K.A. George Costanza!) for an hour of laughs! Register now: http://ms.spr.ly/6043puWVd
Activate link to view larger image.
",17,0,1w •
12,"Making sure remote workers can securely access data and systems is more important now than ever before. Learn why identity and access management (IAM) is central to enabling #remotework and what you can do: http://ms.spr.ly/6047p3fxd
…see more
Identity and Access Management Considerations for the Remote Workforce
wwt.com • 3 min read
",23,0,1w •
13,"The necessity for IT modernization in state and local governments is here; the opportunity is now. WWT and our longtime partner Intel Corporation can be instrumental in the planning and deployment of such an infrastructure refresh. Learn more about why prioritizing IT modernization is a “must-do” for 2021:
…see more
Activate link to view larger image.
",13,1,1w •
14,"Looking to take your business into the future? WWT Consulting sees the whole journey. From strategy to execution and everything in between. See more here: http://ms.spr.ly/6047pOnsL
Activate link to view larger image.
",15,1,1w •
15,"We are proud to share that WWT is among the first AWS Advanced Consulting Partners to provide professional services in AWS Marketplace.

“WWT’s support of Professional Services in AWS Marketplace gives our customers a convenient solution for accessing thousands of cloud software solutions with our consulting and integration services from one centralized location in AWS Marketplace,” said Joe Weber, director, cloud architecture and engineering for WWT.

Learn more about our participation in the launch:
…see more
World Wide Technology Among First Technology Solutions Providers to Offer Professional Services in AWS Marketplace
wwt.com • 2 min read
",113,0,1w •
16,"WWT Cloud Platform Architect, Spencer Cuffe, joins this Google Cloud Solution Series to explain how Anthos is expanding to support more workloads, in more environments, in more locations--and what it all means for your business. Available to watch now: http://ms.spr.ly/6049pOAJW
…see more
Activate link to view larger image.
",18,0,1w •
17,"We are honored to receive the Palo Alto Networks Global Partner of the Year & Americas Partner of the Year Awards. Our partnership has been a multi-year journey of collaboration that includes joint investments in expertise & focus on our customers’ success. See more here: http://ms.spr.ly/6047pPEe9
…see more
Activate link to view larger image.
",49,0,1w •
18,"In an effort to achieve faster return-on-investment when developing new data capabilities, some customers will start with growing data maturity with a data strategy assessment effort, and others will begin with data science proof-of-concept.

We say, why choose? Start with doing both at the same time. Learn more about our approach:
…see more
Activate link to view larger image.
",12,0,1w •
19,"“WWT is honored to be awarded PureStorage's FlashStack Practice Partner of the Year, which illustrates our commitment to delivering modern infrastructure platforms for business-critical applications based on Pure Storage & technologies. - Brent Collins of WWT. http://ms.spr.ly/6041p3B1Z
…see more
WWT wins Pure Storage FlashStack Practice Partner of the Year Award for 2020
wwt.com • 2 min read
",41,0,2w •
20,"Chris Konrad
• 2nd
Director, Global Financial Security /Member FBI InfraGard New York Metro/Forbes Finance Council
2w2 weeks..a study done by Microsoft in 2019 and they found that a whopping 70 percent of all security vulnerabilities in their production code were made possible due to memory safety bugs. Very interestingly, Google reported the same number for security vulnerabilities with #Chrome...

'Learn why is a modern, memory-safe systems language that is a good alternative to the older languages that traditionally filled this space.'

Via

…see more
Intro to Rust: The Modern-Day, Safe Low-Level Programming Language
wwt.com • 7 min read
",10,1,2w •
21,"Join us for tomorrow's webinar with HashiCorp where our experts will cover the people, processes and tools required to deliver a multi-cloud infrastructure. Register now to learn more: http://ms.spr.ly/6047p3fWJ
Activate link to view larger image.
",27,0,2w •
